Persona Precision,Entity Precision,Action Precision,Persona Recall,Entity Recall,Action Recall,Persona F-Measure,Entity F-Measure,Action F-Measure
1.0,0.625,0.75,1.0,0.5263157894736842,0.7894736842105263,1.0,0.5714285714285714,0.7692307692307692
1.0,0.75,1.0,1.0,0.8181818181818182,1.0,1.0,0.7826086956521738,1.0
1.0,1.0,1.0,1.0,0.8,0.9090909090909091,1.0,0.888888888888889,0.9523809523809523
1.0,0.6,0.9,1.0,0.4,0.75,1.0,0.48,0.8181818181818182
1.0,1.0,0.9230769230769231,1.0,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.888888888888889
1.0,0.8181818181818182,0.8181818181818182,1.0,0.782608695652174,0.9473684210526315,1.0,0.8,0.8780487804878049
1.0,0.6428571428571429,1.0,1.0,0.6,0.9285714285714286,1.0,0.6206896551724138,0.962962962962963
1.0,0.5555555555555556,0.9,1.0,0.45454545454545453,0.8181818181818182,1.0,0.5,0.8571428571428572
1.0,0.7777777777777778,1.0,1.0,0.7,0.7272727272727273,1.0,0.7368421052631577,0.8421052631578948
1.0,0.6428571428571429,1.0,1.0,0.6923076923076923,1.0,1.0,0.6666666666666666,1.0
1.0,0.625,0.9166666666666666,1.0,0.38461538461538464,0.8461538461538461,1.0,0.4761904761904762,0.8799999999999999
1.0,0.6086956521739131,0.7391304347826086,1.0,0.7,0.8095238095238095,1.0,0.6511627906976744,0.7727272727272727
1.0,0.9166666666666666,0.8928571428571429,1.0,0.8148148148148148,0.9259259259259259,1.0,0.8627450980392156,0.9090909090909091
1.0,0.9166666666666666,0.9230769230769231,1.0,0.7333333333333333,0.8,1.0,0.8148148148148148,0.8571428571428571
1.0,0.8571428571428571,0.9375,1.0,0.7058823529411765,0.9375,1.0,0.7741935483870968,0.9375
1.0,0.625,1.0,1.0,0.8333333333333334,0.8823529411764706,1.0,0.7142857142857143,0.9375
1.0,0.8181818181818182,1.0,1.0,0.9,1.0,1.0,0.8571428571428572,1.0
1.0,0.8333333333333334,1.0,1.0,0.6,0.9523809523809523,1.0,0.6976744186046512,0.975609756097561
1.0,0.8947368421052632,1.0,1.0,0.7391304347826086,1.0,1.0,0.8095238095238095,1.0
1.0,0.7272727272727273,0.8076923076923077,1.0,0.6666666666666666,0.875,1.0,0.6956521739130435,0.8400000000000001
1.0,0.6363636363636364,1.0,1.0,0.5384615384615384,0.9333333333333333,1.0,0.5833333333333334,0.9655172413793104
